0;0
30;0.143
60;0.272
90;0.391
120;0.505
150;0.607
180;0.704
210;0.797
240;0.877
270;0.952
300;1.021
330;1.082
360;1.138
390;1.189
420;1.236
450;1.277
480;1.313
510;1.349
540;1.378
570;1.409
600;1.432
660;1.476
720;1.511
780;1.537
840;1.56
900;1.578
960;1.59
1020;1.603
1080;1.611
1140;1.616
1200;1.62
1260;1.623
